Date,Time,Occupied Spaces,Unoccupied Spaces,Weather
2012-09-12,06:05:16,0,100,Cloudy
2012-09-12,06:10:30,0,100,Cloudy
2012-09-12,06:15:44,0,100,Cloudy
2012-09-12,06:20:57,1,99,Cloudy
2012-09-12,06:26:11,0,100,Cloudy
2012-09-12,06:31:24,0,100,Cloudy
2012-09-12,06:36:36,0,100,Cloudy
2012-09-12,06:41:49,0,100,Cloudy
2012-09-12,06:47:02,0,100,Cloudy
2012-09-12,06:52:16,0,100,Cloudy
2012-09-12,06:57:29,2,98,Cloudy
2012-09-12,07:02:42,4,96,Cloudy
2012-09-12,07:07:55,9,91,Cloudy
2012-09-12,07:13:08,11,89,Cloudy
2012-09-12,07:18:22,12,88,Cloudy
2012-09-12,07:23:35,16,83,Cloudy
2012-09-12,07:28:48,27,72,Cloudy
2012-09-12,07:34:01,51,49,Cloudy
2012-09-12,07:39:15,70,30,Cloudy
2012-09-12,07:44:29,82,18,Cloudy
2012-09-12,07:49:42,90,10,Cloudy
2012-09-12,07:54:56,90,10,Cloudy
2012-09-12,08:00:11,91,9,Cloudy
2012-09-12,08:05:25,92,8,Cloudy
2012-09-12,08:10:40,93,7,Cloudy
2012-09-12,08:15:53,93,7,Cloudy
2012-09-12,08:21:07,93,7,Cloudy
2012-09-12,08:26:22,93,7,Cloudy
2012-09-12,08:31:36,94,6,Cloudy
2012-09-12,08:36:50,95,5,Cloudy
2012-09-12,08:42:04,95,5,Cloudy
2012-09-12,08:47:19,95,5,Cloudy
2012-09-12,08:52:34,95,5,Cloudy
2012-09-12,08:57:49,95,5,Cloudy
2012-09-12,09:03:04,95,5,Cloudy
2012-09-12,09:08:18,95,5,Cloudy
2012-09-12,09:13:32,95,5,Cloudy
2012-09-12,09:18:46,95,5,Cloudy
2012-09-12,09:24:01,95,5,Cloudy
2012-09-12,09:29:16,95,5,Cloudy
2012-09-12,09:34:30,95,5,Cloudy
2012-09-12,09:39:44,95,5,Cloudy
2012-09-12,09:44:59,94,6,Cloudy
2012-09-12,09:50:14,93,7,Cloudy
2012-09-12,09:55:29,95,5,Cloudy
2012-09-12,10:00:43,95,5,Cloudy
2012-09-12,10:05:57,95,5,Cloudy
2012-09-12,10:11:12,95,5,Cloudy
2012-09-12,10:16:27,95,5,Cloudy
2012-09-12,10:21:41,93,7,Cloudy
2012-09-12,10:26:57,91,9,Cloudy
2012-10-16,05:41:42,1,99,Cloudy
2012-10-16,05:46:42,1,99,Cloudy
2012-10-16,05:51:42,1,99,Cloudy
2012-10-16,05:56:42,1,97,Cloudy
2012-10-16,06:01:42,2,98,Cloudy
2012-10-16,06:06:43,2,98,Cloudy
2012-10-16,06:11:43,2,98,Cloudy
2012-10-16,06:16:43,2,98,Cloudy
2012-10-16,06:21:43,2,98,Cloudy
2012-10-16,06:26:44,2,98,Cloudy
2012-10-16,06:31:44,2,98,Cloudy
2012-10-16,06:36:44,2,98,Cloudy
2012-10-16,06:41:44,3,97,Cloudy
2012-10-16,06:46:44,3,97,Cloudy
2012-10-16,06:51:45,4,96,Cloudy
2012-10-16,06:56:45,5,95,Cloudy
2012-10-16,07:01:45,7,93,Cloudy
2012-10-16,07:06:45,8,92,Cloudy
2012-10-16,07:11:45,9,91,Cloudy
2012-10-16,07:16:45,12,86,Cloudy
2012-10-16,07:21:46,14,86,Cloudy
2012-10-16,07:26:46,21,79,Cloudy
2012-10-16,07:31:46,29,71,Cloudy
2012-10-16,07:36:46,44,56,Cloudy
2012-10-16,07:41:47,59,41,Cloudy
2012-10-16,07:46:47,70,30,Cloudy
2012-10-16,08:33:27,94,6,Cloudy
2012-10-16,08:38:27,95,5,Cloudy
2012-10-16,08:43:27,95,5,Cloudy
2012-10-16,08:48:27,94,6,Cloudy
2012-10-16,08:53:27,95,5,Cloudy
2012-10-16,08:58:28,95,5,Cloudy
2012-10-16,09:03:28,96,4,Cloudy
2012-10-16,09:08:28,96,4,Cloudy
2012-10-16,09:13:29,96,4,Cloudy
2012-10-16,09:18:29,95,5,Cloudy
2012-10-16,09:23:29,93,7,Cloudy
2012-10-16,09:28:29,96,4,Cloudy
2012-10-16,09:33:29,96,4,Cloudy
2012-10-16,09:38:30,95,5,Cloudy
2012-10-16,09:43:30,96,4,Cloudy
2012-10-16,09:48:30,94,6,Cloudy
2012-10-16,09:53:31,95,5,Cloudy
2012-10-16,09:58:31,93,7,Cloudy
2012-10-16,10:03:31,93,7,Cloudy
2012-10-16,10:08:31,93,7,Cloudy
2012-10-16,10:13:32,92,8,Cloudy
2012-10-16,10:18:32,92,8,Cloudy
2012-10-16,10:23:32,92,8,Cloudy
2012-10-16,10:28:33,93,7,Cloudy
2012-10-16,10:33:33,93,7,Cloudy
2012-10-16,10:38:33,93,7,Cloudy
2012-10-16,10:43:33,93,7,Cloudy
2012-10-16,10:48:34,91,9,Cloudy
2012-10-16,10:53:34,88,12,Cloudy
2012-10-16,10:58:34,87,13,Cloudy
2012-10-16,11:03:34,85,15,Cloudy
2012-10-16,11:08:34,84,16,Cloudy
2012-10-16,11:13:35,82,18,Cloudy
2012-10-16,11:18:35,79,21,Cloudy
2012-10-16,11:23:35,79,21,Cloudy
2012-10-16,11:28:36,79,21,Cloudy
2012-10-16,11:33:36,77,23,Cloudy
2012-10-16,11:38:36,73,27,Cloudy
2012-10-16,11:43:37,71,29,Cloudy
2012-10-16,11:48:37,70,30,Cloudy
2012-10-16,11:53:37,68,32,Cloudy
2012-10-16,11:58:37,69,31,Cloudy
2012-10-16,12:03:37,66,34,Cloudy
2012-10-16,12:08:38,63,37,Cloudy
2012-10-16,12:13:38,59,41,Cloudy
2012-10-16,12:18:38,55,45,Cloudy
2012-10-16,12:23:38,54,46,Cloudy
2012-10-16,12:28:39,52,48,Cloudy
2012-10-16,12:33:39,50,50,Cloudy
2012-10-16,12:38:39,48,52,Cloudy
2012-10-16,12:43:39,48,52,Cloudy
2012-10-16,12:48:39,47,53,Cloudy
2012-10-16,12:53:40,46,54,Cloudy
2012-10-16,12:58:40,45,55,Cloudy
2012-10-16,13:03:40,42,58,Cloudy
2012-10-16,13:08:40,43,57,Cloudy
2012-10-16,13:13:41,46,54,Cloudy
2012-10-16,13:18:41,48,52,Cloudy
2012-10-16,13:23:41,51,49,Cloudy
2012-10-16,13:28:41,49,51,Cloudy
2012-10-16,13:33:42,57,43,Cloudy
2012-10-16,13:38:42,59,41,Cloudy
2012-10-16,13:43:42,61,39,Cloudy
2012-10-16,13:48:43,62,38,Cloudy
2012-10-16,13:53:43,66,34,Cloudy
2012-10-16,13:58:43,68,32,Cloudy
2012-10-16,14:03:43,68,32,Cloudy
2012-10-16,14:08:43,70,30,Cloudy
2012-10-16,14:13:44,70,30,Cloudy
2012-10-16,14:18:44,71,29,Cloudy
2012-10-16,14:23:44,70,30,Cloudy
2012-10-16,14:28:45,74,26,Cloudy
2012-10-16,14:33:45,74,26,Cloudy
2012-10-16,14:38:45,73,27,Cloudy
2012-10-16,14:43:45,73,27,Cloudy
2012-10-16,14:48:46,74,26,Cloudy
2012-10-16,14:53:46,75,25,Cloudy
2012-10-16,14:58:46,75,25,Cloudy
2012-10-16,15:03:46,74,26,Cloudy
2012-10-16,15:08:47,73,27,Cloudy
2012-10-16,15:13:47,74,26,Cloudy
2012-10-16,15:18:47,74,26,Cloudy
2012-10-16,15:23:47,74,26,Cloudy
2012-10-16,15:28:47,74,26,Cloudy
2012-10-16,15:33:48,74,26,Cloudy
2012-10-16,15:38:48,73,27,Cloudy
2012-10-16,15:43:48,73,27,Cloudy
2012-10-16,15:48:49,75,25,Cloudy
2012-10-16,15:53:49,75,25,Cloudy
2012-10-16,15:58:49,74,26,Cloudy
2012-10-16,16:03:49,75,25,Cloudy
2012-10-16,16:08:49,75,25,Cloudy
2012-10-16,16:13:50,75,25,Cloudy
2012-10-16,16:18:50,75,25,Cloudy
2012-10-16,16:23:50,76,24,Cloudy
2012-10-16,16:28:50,76,24,Cloudy
2012-10-16,16:33:51,74,26,Cloudy
2012-10-16,16:38:51,72,28,Cloudy
2012-10-16,16:43:51,72,28,Cloudy
2012-10-16,16:48:51,73,27,Cloudy
2012-10-16,16:53:52,72,28,Cloudy
2012-10-16,16:58:52,72,28,Cloudy
2012-10-16,17:03:52,73,27,Cloudy
2012-10-16,17:08:52,74,26,Cloudy
2012-10-16,17:13:53,73,27,Cloudy
2012-10-16,17:18:53,77,23,Cloudy
2012-10-16,17:23:53,76,24,Cloudy
2012-10-16,17:28:54,75,25,Cloudy
2012-10-16,17:33:54,76,24,Cloudy
2012-10-16,17:38:54,71,29,Cloudy
2012-10-16,17:43:55,68,32,Cloudy
2012-10-16,17:48:55,66,34,Cloudy
2012-10-16,17:53:55,60,40,Cloudy
2012-10-16,17:58:55,58,42,Cloudy
2012-10-16,18:03:56,57,43,Cloudy
2012-10-16,18:08:56,60,40,Cloudy
2012-10-16,18:13:56,60,40,Cloudy
2012-10-16,18:18:56,63,37,Cloudy
2012-10-16,18:23:56,68,32,Cloudy
2012-09-28,07:16:00,13,86,Cloudy
2012-09-28,07:21:00,15,85,Cloudy
2012-09-28,07:26:01,18,82,Cloudy
2012-09-28,07:31:01,25,75,Cloudy
2012-09-28,07:36:01,32,68,Cloudy
2012-09-28,07:41:01,42,58,Cloudy
2012-09-28,07:46:02,47,53,Cloudy
2012-09-28,07:51:02,55,44,Cloudy
2012-09-28,07:56:02,59,41,Cloudy
2012-09-28,08:01:02,67,33,Cloudy
2012-09-28,08:06:02,73,27,Cloudy
2012-09-28,08:11:03,77,23,Cloudy
2012-09-28,08:16:03,81,19,Cloudy
2012-09-28,08:21:03,85,15,Cloudy
2012-09-28,08:26:04,87,13,Cloudy
2012-09-28,08:31:04,90,10,Cloudy
2012-09-28,08:36:04,92,8,Cloudy
2012-09-28,08:41:04,91,9,Cloudy
2012-09-28,08:46:04,91,9,Cloudy
2012-09-28,08:51:05,92,8,Cloudy
2012-09-28,08:56:05,93,7,Cloudy
2012-09-28,09:01:05,92,8,Cloudy
2012-09-28,09:06:05,93,7,Cloudy
2012-09-28,09:11:06,93,7,Cloudy
2012-09-28,09:16:06,94,6,Cloudy
2012-09-28,09:21:06,95,5,Cloudy
2012-09-28,09:26:06,97,3,Cloudy
2012-09-28,09:31:07,97,3,Cloudy
2012-09-28,09:36:07,97,3,Cloudy
2012-09-28,09:41:07,97,3,Cloudy
2012-09-28,09:46:07,97,3,Cloudy
2012-09-28,09:51:08,97,3,Cloudy
2012-09-28,09:56:08,97,3,Cloudy
2012-09-28,10:01:08,96,4,Cloudy
2012-09-28,10:06:08,95,5,Cloudy
2012-09-28,10:11:09,95,5,Cloudy
2012-09-28,10:16:09,94,6,Cloudy
2012-09-28,10:21:09,96,4,Cloudy
2012-09-28,10:26:09,95,5,Cloudy
2012-09-28,10:31:09,93,7,Cloudy
2012-09-28,10:36:10,93,7,Cloudy
2012-09-28,10:41:10,92,8,Cloudy
2012-09-28,10:46:10,89,11,Cloudy
2012-09-28,10:51:10,89,11,Cloudy
2012-09-28,10:56:11,89,11,Cloudy
2012-09-28,11:01:11,88,12,Cloudy
2012-09-28,11:06:11,88,12,Cloudy
2012-09-28,11:11:12,84,16,Cloudy
2012-09-28,11:16:12,82,18,Cloudy
2012-09-28,11:21:12,80,20,Cloudy
2012-09-28,11:26:12,77,23,Cloudy
2012-09-28,11:31:12,76,24,Cloudy
2012-09-28,11:36:12,75,25,Cloudy
2012-09-28,11:41:13,73,27,Cloudy
2012-09-28,11:46:13,70,30,Cloudy
2012-09-28,11:51:13,66,34,Cloudy
2012-09-28,11:56:13,62,38,Cloudy
2012-09-28,12:01:14,60,40,Cloudy
2012-09-28,12:06:14,55,45,Cloudy
2012-09-28,12:11:14,51,49,Cloudy
2012-09-28,12:16:14,51,49,Cloudy
2012-09-28,12:21:15,52,48,Cloudy
2012-09-28,12:26:15,50,50,Cloudy
2012-09-28,12:31:15,49,51,Cloudy
2012-09-28,12:36:15,47,53,Cloudy
2012-09-28,12:41:16,42,58,Cloudy
2012-09-28,12:46:16,42,58,Cloudy
2012-09-28,12:51:16,43,57,Cloudy
2012-09-28,12:56:16,45,55,Cloudy
2012-09-28,13:01:16,41,59,Cloudy
2012-09-28,13:06:17,41,59,Cloudy
2012-09-28,13:11:17,46,54,Cloudy
2012-09-28,13:16:17,46,54,Cloudy
2012-09-28,13:21:17,48,52,Cloudy
2012-09-28,13:26:18,48,52,Cloudy
2012-09-28,13:31:18,52,48,Cloudy
2012-09-28,13:36:18,53,46,Cloudy
