Date,Time,Occupied Spaces,Unoccupied Spaces,Weather
2012-09-16,06:22:55,0,100,Rainy
2012-09-16,06:27:55,0,100,Rainy
2012-09-16,06:32:55,0,100,Rainy
2012-09-16,06:37:56,0,100,Rainy
2012-09-16,06:42:56,0,100,Rainy
2012-09-16,06:47:56,1,99,Rainy
2012-09-16,06:52:56,2,98,Rainy
2012-09-16,06:57:56,1,99,Rainy
2012-09-16,07:02:57,2,98,Rainy
2012-09-16,07:07:57,3,97,Rainy
2012-09-16,07:12:57,3,97,Rainy
2012-09-16,07:17:57,3,97,Rainy
2012-09-16,07:22:57,3,97,Rainy
2012-09-16,07:27:57,3,97,Rainy
2012-09-16,07:32:58,3,97,Rainy
2012-09-16,07:37:58,3,97,Rainy
2012-09-16,07:42:58,3,97,Rainy
2012-09-16,07:47:58,3,97,Rainy
2012-09-16,07:52:58,3,97,Rainy
2012-09-16,07:57:59,3,97,Rainy
2012-09-16,08:02:59,3,97,Rainy
2012-09-16,08:07:59,3,97,Rainy
2012-09-16,08:12:59,3,97,Rainy
2012-09-16,08:17:59,3,97,Rainy
2012-09-21,06:10:10,1,99,Rainy
2012-09-21,06:15:11,1,99,Rainy
2012-09-21,06:20:11,2,98,Rainy
2012-09-21,06:25:11,2,98,Rainy
2012-09-21,06:30:11,2,98,Rainy
2012-09-21,06:35:11,2,98,Rainy
2012-09-21,06:40:11,3,97,Rainy
2012-09-21,06:45:12,3,97,Rainy
2012-09-21,06:50:12,3,97,Rainy
2012-09-21,06:55:12,4,96,Rainy
2012-09-21,07:00:12,5,95,Rainy
2012-09-21,07:05:12,6,94,Rainy
2012-09-21,07:10:13,7,93,Rainy
2012-09-21,07:15:13,10,90,Rainy
2012-09-21,07:20:13,13,87,Rainy
2012-09-21,07:25:14,15,85,Rainy
2012-09-21,07:30:14,18,82,Rainy
2012-09-21,07:35:14,29,70,Rainy
2012-09-21,07:40:14,46,52,Rainy
2012-09-21,07:45:14,59,41,Rainy
2012-09-21,07:50:15,64,36,Rainy
2012-09-21,07:55:15,72,28,Rainy
2012-09-21,08:00:15,79,21,Rainy
2012-09-21,08:05:15,88,12,Rainy
2012-09-21,08:10:15,89,11,Rainy
2012-09-21,08:15:16,89,11,Rainy
2012-09-21,08:20:16,89,11,Rainy
2012-09-21,08:25:16,89,11,Rainy
2012-09-21,08:30:16,90,10,Rainy
2012-09-21,08:35:16,90,10,Rainy
2012-09-21,08:40:17,90,10,Rainy
2012-09-21,08:45:17,90,10,Rainy
2012-09-21,08:50:17,90,10,Rainy
2012-09-21,08:55:17,91,9,Rainy
2012-09-21,09:00:17,91,9,Rainy
2012-09-21,09:05:18,91,9,Rainy
2012-09-21,09:10:18,91,9,Rainy
2012-09-21,09:15:18,91,9,Rainy
2012-09-21,09:20:18,91,9,Rainy
2012-09-21,09:25:19,91,9,Rainy
2012-09-21,09:30:19,91,9,Rainy
2012-09-21,09:35:19,91,9,Rainy
2012-09-21,09:40:19,91,9,Rainy
2012-09-21,09:45:19,90,10,Rainy
2012-09-21,09:50:20,90,10,Rainy
2012-09-21,09:55:20,91,9,Rainy
2012-09-21,10:00:20,91,9,Rainy
2012-09-21,10:05:20,91,9,Rainy
2012-09-21,10:10:21,91,9,Rainy
2012-09-21,10:15:21,91,9,Rainy
2012-09-21,10:20:21,91,9,Rainy
2012-09-21,10:25:21,90,10,Rainy
2012-09-21,10:30:21,91,9,Rainy
2012-09-21,10:35:22,91,9,Rainy
2012-09-21,10:40:22,91,9,Rainy
2012-09-21,10:45:22,93,7,Rainy
2012-09-21,10:50:22,92,7,Rainy
2012-09-21,10:55:23,93,7,Rainy
