Date,Time,Occupied Spaces,Unoccupied Spaces,Weather
2012-09-11,15:16:58,67,32,Sunny
2012-09-11,15:27:08,67,32,Sunny
2012-09-11,15:29:29,69,30,Sunny
2012-09-11,15:31:50,69,30,Sunny
2012-09-11,15:36:32,69,30,Sunny
2012-09-11,15:38:53,70,29,Sunny
2012-09-11,15:43:35,71,29,Sunny
2012-09-11,15:45:57,70,29,Sunny
2012-09-11,15:53:00,71,28,Sunny
2012-09-11,15:55:21,71,28,Sunny
2012-09-11,16:02:25,70,29,Sunny
2012-09-11,16:10:41,71,28,Sunny
2012-09-11,16:15:24,72,27,Sunny
2012-09-11,16:20:06,74,25,Sunny
2012-09-11,16:24:53,74,25,Sunny
2012-09-11,16:29:30,74,25,Sunny
2012-09-11,16:34:18,74,26,Sunny
2012-09-11,16:38:55,75,25,Sunny
2012-09-11,16:43:43,76,23,Sunny
2012-09-11,16:48:36,75,24,Sunny
2012-09-11,16:53:18,76,23,Sunny
2012-09-11,17:02:42,75,24,Sunny
2012-09-11,17:07:30,74,25,Sunny
2012-09-11,17:12:07,75,24,Sunny
2012-09-11,17:16:54,74,26,Sunny
2012-09-11,17:26:19,76,23,Sunny
2012-09-11,17:31:01,76,24,Sunny
2012-09-11,17:35:44,75,24,Sunny
2012-09-11,17:40:27,71,28,Sunny
2012-09-11,17:49:51,67,32,Sunny
2012-09-11,17:54:33,68,30,Sunny
2012-09-11,17:59:15,68,31,Sunny
2012-09-11,18:03:58,72,27,Sunny
2012-09-11,18:08:41,71,28,Sunny
2012-09-11,18:13:17,77,23,Sunny
2012-09-11,18:18:05,91,9,Sunny
2012-09-12,10:32:11,91,9,Sunny
2012-09-12,10:37:26,90,10,Sunny
2012-09-12,10:42:40,90,10,Sunny
2012-09-12,10:47:54,89,11,Sunny
2012-09-12,10:53:10,89,11,Sunny
2012-09-12,10:58:24,91,9,Sunny
2012-09-12,11:03:39,87,13,Sunny
2012-09-12,11:08:53,88,12,Sunny
2012-09-12,11:14:08,86,14,Sunny
2012-09-12,11:19:23,85,15,Sunny
2012-09-12,11:24:37,82,18,Sunny
2012-09-12,11:29:52,80,20,Sunny
2012-09-12,11:35:06,79,21,Sunny
2012-09-12,11:40:19,77,23,Sunny
2012-09-12,11:45:32,76,24,Sunny
2012-09-12,11:50:46,71,29,Sunny
2012-09-12,11:56:00,71,29,Sunny
2012-09-12,12:01:14,68,32,Sunny
2012-09-12,12:06:28,61,39,Sunny
2012-09-12,12:11:42,60,40,Sunny
2012-09-12,12:16:56,56,44,Sunny
2012-09-12,12:22:10,53,47,Sunny
2012-09-12,12:27:24,52,48,Sunny
2012-09-12,12:32:38,46,54,Sunny
2012-09-12,12:37:52,45,55,Sunny
2012-09-12,12:43:06,43,57,Sunny
2012-09-12,12:48:19,42,58,Sunny
2012-09-12,12:53:33,41,59,Sunny
2012-09-12,12:58:47,37,63,Sunny
2012-09-12,13:04:01,38,61,Sunny
2012-09-12,13:09:16,39,61,Sunny
2012-09-12,13:14:29,39,61,Sunny
2012-09-12,13:19:43,40,60,Sunny
2012-09-12,13:24:58,43,57,Sunny
2012-09-12,13:30:12,43,57,Sunny
2012-09-12,13:35:27,44,56,Sunny
2012-09-12,13:40:41,45,55,Sunny
2012-09-12,13:45:56,48,52,Sunny
2012-09-12,13:51:10,48,52,Sunny
2012-09-12,13:56:24,48,52,Sunny
2012-09-12,14:01:38,49,51,Sunny
2012-09-12,14:06:53,52,48,Sunny
2012-09-12,14:12:08,55,45,Sunny
2012-09-12,14:17:22,56,44,Sunny
2012-09-12,14:22:37,57,43,Sunny
2012-09-12,14:27:51,58,42,Sunny
2012-09-12,14:33:05,60,40,Sunny
2012-09-12,14:38:20,60,40,Sunny
2012-09-12,14:43:35,63,37,Sunny
2012-09-12,14:48:49,66,34,Sunny
2012-09-12,14:54:04,69,31,Sunny
2012-09-12,14:59:18,67,33,Sunny
2012-09-12,15:04:33,67,33,Sunny
2012-09-12,15:09:47,67,33,Sunny
2012-09-12,15:15:01,67,33,Sunny
2012-09-12,15:20:15,67,33,Sunny
2012-09-12,15:25:30,67,33,Sunny
2012-09-12,15:30:44,68,32,Sunny
2012-09-12,15:35:58,68,32,Sunny
2012-09-12,15:41:12,68,32,Sunny
2012-09-12,15:46:26,67,33,Sunny
2012-09-12,15:51:40,67,33,Sunny
2012-09-12,15:56:54,69,31,Sunny
2012-09-12,16:02:08,69,31,Sunny
2012-09-12,16:07:22,68,32,Sunny
2012-09-12,16:12:35,68,32,Sunny
2012-09-12,16:17:48,68,32,Sunny
2012-09-12,16:23:01,68,32,Sunny
2012-09-12,16:28:14,66,34,Sunny
2012-09-12,16:33:28,66,34,Sunny
2012-09-12,16:38:42,69,31,Sunny
2012-09-12,16:43:56,70,30,Sunny
2012-09-12,16:49:08,69,31,Sunny
2012-09-12,16:54:22,67,33,Sunny
2012-09-12,16:59:35,65,35,Sunny
2012-09-12,17:04:49,66,34,Sunny
2012-09-12,17:10:02,66,34,Sunny
2012-09-12,17:15:15,66,34,Sunny
2012-09-12,17:20:29,65,35,Sunny
2012-09-12,17:25:42,64,36,Sunny
2012-09-12,17:30:55,63,37,Sunny
2012-09-12,17:36:08,60,40,Sunny
